subscription_type,plan_type,auto_renew,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,discount_used_last_renewal,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,previous_renewal_status,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,csat_score,customer_age,signup_source,payment_method,downgrade_history,subscription_status,tenure_days
Digital,Monthly,No,2.44,13,1,No,0.8,12.99,Asia,Politics,0.97,2,Desktop,Auto,Newsletter Promo,0.1,79,0.61,2,32,Mobile App,PayPal,Yes,Active,882
Digital+Print,Monthly,No,0.89,15,1,No,0.4,11.19,North America,Culture,0.6,3,Mobile,Auto,,0.31,74,0.77,5,59,Web,Credit Card,Yes,Cancelled,1562
Digital,Monthly,No,3.02,13,3,Yes,0.34,11.8,Europe,Finance,0.66,3,Desktop,Auto,Newsletter Promo,0.22,-42,-0.13,5,50,Web,Credit Card,No,Cancelled,1058
Digital,Annual,Yes,4.35,8,0,No,0.23,9.58,Europe,Environment,0.4,0,Desktop,Auto,,0.21,74,-0.85,4,61,Mobile App,Credit Card,Yes,Active,1792
Digital,Monthly,Yes,1.64,3,2,Yes,0.48,17.1,North America,Technology,0.69,1,Tablet,Auto,Survey,0.3,-45,0.12,1,58,Mobile App,Credit Card,No,Cancelled,357
Digital+Print,Annual,Yes,5.28,24,2,Yes,0.55,4.08,Others,Finance,0.4,1,Mobile,Auto,Newsletter Promo,0.36,-88,0.17,1,22,Web,Credit Card,No,Active,85
Digital,Monthly,Yes,3.77,22,1,Yes,0.63,10.56,North America,Culture,0.73,1,Mobile,Auto,,0.17,71,0.21,4,39,Mobile App,Debit Card,No,Active,631
Digital,Monthly,No,4.55,10,1,No,0.26,10.26,Europe,Culture,0.95,2,Mobile,Manual,,0.19,-66,-0.15,3,44,Mobile App,Credit Card,Yes,Active,1392
Digital+Print,Annual,Yes,2.01,5,1,Yes,0.95,13.25,Europe,Politics,0.44,1,Desktop,Auto,Newsletter Promo,0.37,18,-0.07,1,64,Mobile App,PayPal,No,Active,778
Digital,Annual,Yes,4.28,14,2,Yes,0.17,6.62,North America,Finance,0.84,0,Desktop,Auto,Survey,0.31,14,-0.35,5,52,Mobile App,PayPal,No,Active,118
Digital,Annual,No,1.36,4,0,No,0.97,3.03,Others,Environment,0.32,0,Desktop,Manual,,0.62,56,0.08,5,36,Web,Credit Card,No,Active,813
Espresso,Annual,Yes,4.34,10,1,Yes,0.01,10.63,Asia,Politics,0.56,0,Mobile,Auto,,0.21,-45,0.4,1,56,Web,Credit Card,No,Active,1322
Digital+Print,Monthly,No,3.26,24,0,No,0.48,11.12,Europe,Politics,0.38,1,Mobile,Auto,,0.48,32,0.13,1,24,Web,Credit Card,Yes,Cancelled,882
Digital+Print,Annual,Yes,3.83,17,1,No,0.33,15.96,North America,Finance,0.55,1,Mobile,Manual,Newsletter Promo,0.4,94,-0.02,3,56,Web,Credit Card,Yes,Active,1667
Digital+Print,Monthly,Yes,1.24,29,0,No,0.45,4.92,North America,Culture,0.42,1,Desktop,Manual,Newsletter Promo,0.33,-48,0.56,1,51,Referral,PayPal,No,Cancelled,467
Digital,Annual,Yes,1.66,12,1,No,0.57,14.62,North America,Culture,0.56,2,Mobile,Manual,Survey,0.39,0,0.13,3,51,Web,PayPal,No,Active,617
Digital,Monthly,Yes,3.9,10,2,No,0.44,19.47,North America,Environment,0.59,0,Mobile,Auto,,0.54,19,0.02,5,44,Web,Debit Card,No,Active,1402
Digital,Annual,Yes,1.58,13,1,No,0.41,8.49,Europe,Finance,0.51,1,Desktop,Manual,,0.07,-41,0.04,3,61,Web,PayPal,Yes,Active,1362
Digital,Monthly,Yes,3.69,27,2,Yes,0.73,4.84,Others,Politics,0.76,0,Mobile,Auto,Newsletter Promo,0.02,4,-0.61,1,22,Mobile App,Credit Card,No,Active,1788
Digital,Monthly,No,0.95,17,1,No,0.69,8.37,Europe,Technology,0.94,1,Mobile,Auto,,0.13,33,-0.55,2,21,Mobile App,PayPal,No,Cancelled,201
Digital,Monthly,No,4.27,26,0,No,0.83,10.06,Asia,Culture,0.58,1,Mobile,Manual,Survey,0.14,75,-0.06,1,24,Mobile App,PayPal,No,Cancelled,173
Digital+Print,Annual,Yes,1.15,27,1,No,0.25,12.26,Europe,Politics,0.43,0,Desktop,Auto,Newsletter Promo,0.43,5,-0.37,2,65,Mobile App,PayPal,No,Active,404
Digital+Print,Monthly,Yes,3.83,24,1,No,0.61,7.63,Europe,Politics,0.49,0,Desktop,Manual,Retention Offer,0.33,-21,-0.02,5,20,Web,PayPal,No,Active,1547
Espresso,Monthly,Yes,3.94,27,2,Yes,0.59,16.22,Asia,Politics,0.9,0,Tablet,Auto,,0.38,62,0.43,4,38,Web,Debit Card,No,Active,31
Digital,Monthly,Yes,1.95,18,0,No,0.37,5.54,Europe,Technology,0.7,2,Mobile,Auto,Newsletter Promo,0.23,45,0.35,5,51,Mobile App,Credit Card,No,Cancelled,538
Digital,Monthly,Yes,3.87,23,3,Yes,0.49,3.04,Asia,Culture,0.62,2,Tablet,Manual,Retention Offer,0.19,-90,0.2,5,66,Mobile App,Credit Card,No,Cancelled,1444
Digital,Annual,Yes,3.39,26,1,No,0.31,14.43,North America,Technology,0.4,1,Desktop,Auto,,0.27,-50,0.42,5,26,Web,PayPal,No,Active,1794
Digital,Monthly,Yes,2.19,14,0,Yes,0.14,0.9,North America,Environment,0.61,1,Desktop,Manual,Survey,0.17,20,0.52,3,37,Web,Credit Card,No,Active,998
Digital,Annual,Yes,1.49,8,1,No,0.21,9.18,Asia,Politics,0.49,0,Tablet,Manual,,0.37,-78,0.5,5,57,Mobile App,PayPal,No,Active,445
Digital+Print,Monthly,Yes,0.06,7,0,No,0.11,22.47,Europe,Environment,0.96,0,Mobile,Manual,,0.37,-54,0.48,4,29,Web,Credit Card,No,Active,728
Digital,Monthly,Yes,3.52,19,1,Yes,0.68,9.95,Asia,Culture,0.92,2,Mobile,Auto,,0.22,-26,-0.6,1,56,Web,Credit Card,No,Active,1790
Digital,Annual,No,0.65,27,0,No,0.66,5.52,Others,Finance,0.36,0,Mobile,Auto,,0.2,86,-0.95,2,63,Mobile App,Credit Card,Yes,Cancelled,351
Digital+Print,Monthly,Yes,3.14,0,1,Yes,0.95,9.77,North America,Environment,0.66,3,Desktop,Manual,Retention Offer,0.1,84,-0.39,5,45,Web,PayPal,Yes,Active,579
Digital+Print,Monthly,No,2.6,3,0,Yes,0.73,9.8,Europe,Politics,0.46,1,Desktop,Manual,Retention Offer,0.22,-8,-0.23,2,65,Mobile App,Credit Card,Yes,Active,1376
Digital,Monthly,No,4.02,13,0,No,0.05,10.64,North America,Culture,0.59,0,Desktop,Auto,Retention Offer,0.48,26,0.46,5,50,Web,PayPal,No,Active,750
Digital+Print,Annual,No,2.55,24,2,No,0.88,12.65,Europe,Culture,0.91,0,Mobile,Manual,Retention Offer,0.47,-45,-0.05,3,27,Web,Debit Card,Yes,Active,293
Digital,Monthly,Yes,2.51,1,2,No,0.86,5.84,Asia,Culture,0.67,1,Mobile,Auto,Newsletter Promo,0.21,54,-0.24,2,28,Mobile App,Credit Card,Yes,Active,173
Digital+Print,Annual,Yes,4.1,15,2,Yes,0.44,16.75,North America,Technology,0.53,1,Mobile,Manual,Newsletter Promo,0.04,-28,0.08,5,24,Web,Credit Card,No,Active,550
Digital,Annual,No,3.5,2,0,Yes,0.59,10.98,Europe,Politics,0.45,0,Desktop,Auto,Newsletter Promo,0.33,62,0.27,5,35,Mobile App,Credit Card,Yes,Active,1321
Digital,Monthly,Yes,3.47,25,1,No,0.98,12.91,Asia,Finance,0.86,1,Mobile,Auto,Retention Offer,0.16,82,0.39,4,36,Web,Credit Card,No,Active,994
Digital+Print,Monthly,Yes,3.7,7,2,No,0.53,7.49,North America,Finance,0.74,0,Tablet,Auto,,0.44,36,-0.21,4,31,Web,Credit Card,Yes,Active,1319
Digital,Monthly,Yes,0.7,5,1,No,0.91,15.15,Asia,Culture,0.63,1,Mobile,Auto,Newsletter Promo,0.32,-83,-0.48,4,34,Web,Credit Card,No,Active,483
Digital,Monthly,No,4.14,15,2,Yes,0.08,8.97,Europe,Culture,0.45,4,Mobile,Manual,,0.54,-57,-0.39,3,40,Mobile App,Credit Card,No,Active,1121
Digital+Print,Monthly,Yes,3.92,23,0,No,0.19,11.11,Others,Environment,0.53,1,Desktop,Auto,Retention Offer,0.36,48,0.06,2,36,Web,Credit Card,No,Active,59
Digital,Monthly,Yes,1.47,15,1,No,0.44,6.27,North America,Politics,0.97,0,Mobile,Manual,,0.28,-45,-0.53,3,62,Web,PayPal,Yes,Active,625
Digital,Monthly,No,2.63,6,0,Yes,0.58,6.01,North America,Culture,0.66,0,Mobile,Auto,Survey,0.11,75,0.47,1,20,Web,Debit Card,Yes,Active,673
Digital+Print,Annual,No,2.94,29,0,No,0.82,12.75,Europe,Environment,0.58,0,Mobile,Auto,,0.2,-1,-0.52,5,51,Mobile App,Credit Card,No,Active,175
Digital+Print,Annual,Yes,2.8,12,1,No,0.99,8.23,North America,Culture,0.66,1,Mobile,Auto,,0.38,-100,-0.78,5,42,Web,PayPal,No,Active,1538
Digital+Print,Annual,Yes,3.5,12,0,Yes,0.39,6.58,Others,Politics,0.85,1,Tablet,Auto,Survey,0.37,54,0.08,5,58,Mobile App,Credit Card,No,Active,714
Digital+Print,Monthly,Yes,5.15,4,0,Yes,0.05,7.43,North America,Politics,0.54,2,Desktop,Auto,Newsletter Promo,0.23,-56,-0.14,4,48,Referral,Credit Card,No,Active,203
Digital+Print,Monthly,Yes,4.62,24,0,No,0.8,12.8,Asia,Politics,0.43,1,Mobile,Auto,Survey,0.17,-38,0.24,5,56,Web,Credit Card,No,Active,1542
Digital+Print,Monthly,Yes,1.03,19,0,No,0.6,7.48,Europe,Technology,0.71,0,Desktop,Manual,,0.56,-43,-0.25,4,31,Web,Credit Card,No,Cancelled,922
Digital,Annual,Yes,3.93,21,1,No,0.2,9.53,North America,Technology,0.77,2,Mobile,Auto,,0.06,67,0.2,1,54,Mobile App,Credit Card,No,Active,1428
Digital,Monthly,No,4.99,17,0,No,0.49,10.06,North America,Environment,0.8,0,Desktop,Auto,Newsletter Promo,0.09,-38,0.5,3,69,Web,Credit Card,No,Cancelled,1159
Digital,Annual,Yes,3.58,14,0,Yes,0.74,2.33,Europe,Finance,0.92,0,Tablet,Manual,,0.22,-63,-0.31,3,64,Mobile App,Debit Card,No,Active,391
Espresso,Monthly,Yes,4.64,17,2,No,0.77,4.12,Europe,Finance,0.56,2,Desktop,Auto,,0.68,-72,0.26,3,37,Web,Credit Card,Yes,Active,1079
Digital,Monthly,Yes,6.02,1,1,Yes,0.5,11.35,North America,Technology,0.35,2,Mobile,Auto,,0.41,-61,0.9,4,49,Web,PayPal,No,Active,1445
Digital+Print,Annual,Yes,4.54,9,0,Yes,0.31,7.05,Others,Culture,0.97,3,Mobile,Auto,,0.39,46,0.39,2,50,Referral,PayPal,No,Active,1488
Digital,Monthly,Yes,3.37,22,0,No,0.97,14.23,North America,Environment,0.6,2,Mobile,Auto,Retention Offer,0.41,-13,-0.4,2,69,Web,Credit Card,Yes,Active,900
Digital+Print,Annual,No,4.57,12,0,No,0.66,13.87,Europe,Culture,0.74,0,Desktop,Auto,Newsletter Promo,0.73,-45,0.17,1,48,Web,Credit Card,No,Active,887
Digital,Annual,Yes,3.22,17,2,No,0.41,12.88,Europe,Finance,0.77,1,Desktop,Auto,Newsletter Promo,0.35,-57,-0.65,2,24,Mobile App,Credit Card,No,Active,391
Digital,Monthly,No,3.04,14,1,Yes,0.28,17.28,North America,Technology,0.68,1,Mobile,Manual,Newsletter Promo,0.09,92,-0.58,1,22,Referral,Credit Card,No,Active,928
Espresso,Monthly,Yes,2.47,11,1,Yes,0.73,9.67,Others,Culture,0.44,0,Tablet,Manual,Retention Offer,0.49,-1,0.75,5,21,Web,Credit Card,Yes,Active,1307
Digital+Print,Monthly,No,5.35,14,0,No,0.24,12.6,North America,Finance,0.83,0,Mobile,Auto,Retention Offer,0.09,40,0.2,3,28,Referral,Credit Card,No,Active,1303
Espresso,Annual,No,1.77,12,1,Yes,0.17,7.66,North America,Politics,0.86,0,Mobile,Manual,Newsletter Promo,0.07,57,0.77,4,36,Mobile App,Credit Card,No,Cancelled,145
Digital,Monthly,Yes,5.3,17,1,No,0.53,19.81,North America,Politics,0.69,0,Mobile,Auto,,0.35,-52,0.21,1,55,Referral,Credit Card,No,Active,1004
Digital,Monthly,No,3.75,14,2,Yes,0.29,17.93,Europe,Politics,0.64,1,Mobile,Auto,Retention Offer,0.09,14,-0.27,4,37,Mobile App,Credit Card,No,Active,1702
Digital,Monthly,Yes,0.9,24,1,No,0.63,10.05,Europe,Technology,0.38,2,Mobile,Auto,Survey,0.15,-26,0.02,4,44,Mobile App,Credit Card,No,Cancelled,1318
Digital,Annual,Yes,3.55,22,1,No,0.12,11.55,Europe,Politics,0.36,1,Desktop,Auto,,0.59,90,0.13,3,46,Mobile App,Debit Card,No,Active,1426
Digital,Monthly,No,0.0,10,2,Yes,0.65,15.44,North America,Politics,0.54,1,Mobile,Auto,,0.41,98,1.11,5,35,Web,Credit Card,No,Cancelled,558
Digital+Print,Annual,No,3.94,18,3,No,0.28,9.41,North America,Politics,0.52,0,Mobile,Auto,Retention Offer,0.05,62,0.35,5,54,Referral,PayPal,No,Cancelled,1653
Digital,Annual,Yes,4.33,2,2,No,0.0,7.37,Asia,Technology,0.97,0,Desktop,Manual,,0.14,38,-0.37,2,69,Web,Debit Card,No,Active,1107
Digital,Monthly,Yes,2.11,6,1,No,0.13,13.5,North America,Finance,0.85,0,Mobile,Manual,,0.27,-52,-0.1,5,64,Web,Credit Card,No,Active,1633
Digital+Print,Monthly,Yes,3.19,20,2,No,0.93,10.31,Asia,Technology,0.76,1,Desktop,Auto,Survey,0.14,6,0.24,3,42,Mobile App,Credit Card,No,Active,600
Digital+Print,Annual,Yes,5.93,25,1,No,0.87,10.73,North America,Politics,0.66,4,Mobile,Manual,,0.34,10,-0.54,4,37,Web,Credit Card,Yes,Active,1269
Digital+Print,Monthly,Yes,2.24,13,0,Yes,0.23,6.66,Asia,Politics,0.42,1,Desktop,Manual,,0.29,14,-0.01,1,23,Mobile App,Debit Card,No,Active,1478
Digital,Annual,Yes,1.41,13,0,No,0.78,3.13,North America,Finance,0.98,3,Tablet,Auto,,0.27,67,-0.1,1,53,Mobile App,PayPal,No,Active,1094
Digital+Print,Monthly,Yes,5.22,21,1,No,0.61,10.94,Europe,Finance,0.56,1,Mobile,Auto,Retention Offer,0.34,-80,0.24,5,66,Web,Credit Card,No,Active,1426
Digital,Monthly,Yes,5.94,12,0,Yes,0.97,13.62,North America,Politics,0.37,0,Desktop,Auto,Retention Offer,0.16,-54,-0.05,2,32,Web,PayPal,No,Active,1234
Digital,Annual,No,3.01,11,1,No,0.37,9.1,North America,Politics,0.65,1,Desktop,Auto,,0.19,-98,-0.7,1,35,Mobile App,Credit Card,No,Active,442
Espresso,Monthly,Yes,4.52,23,0,No,0.68,15.75,North America,Culture,0.91,1,Desktop,Auto,Retention Offer,0.33,57,-0.02,2,55,Mobile App,Credit Card,No,Active,320
Digital,Monthly,Yes,5.01,8,1,Yes,0.06,7.18,North America,Technology,0.92,2,Mobile,Auto,Retention Offer,0.73,26,0.38,1,42,Mobile App,PayPal,No,Active,460
Digital,Monthly,Yes,1.89,0,3,Yes,0.4,5.78,North America,Politics,0.31,2,Mobile,Auto,,0.47,-34,0.72,2,37,Web,PayPal,Yes,Cancelled,320
Digital+Print,Monthly,Yes,2.27,18,3,Yes,0.96,9.73,Europe,Politics,0.92,1,Desktop,Auto,Newsletter Promo,0.33,-39,0.48,2,39,Referral,Credit Card,No,Cancelled,695
Digital+Print,Monthly,Yes,4.85,10,2,Yes,0.54,9.67,Europe,Environment,0.49,0,Desktop,Auto,,0.17,64,-0.8,4,68,Web,PayPal,No,Active,1148
Digital+Print,Monthly,Yes,5.53,22,1,No,0.29,13.08,Asia,Technology,0.33,1,Mobile,Auto,Survey,0.41,49,-0.67,3,29,Web,Credit Card,No,Active,779
Digital,Annual,Yes,3.84,21,1,Yes,0.12,6.9,Europe,Finance,0.89,2,Mobile,Auto,Newsletter Promo,0.15,-70,-0.53,1,58,Web,PayPal,No,Active,81
Digital+Print,Monthly,Yes,1.68,22,1,No,0.7,15.47,Europe,Technology,0.9,0,Mobile,Auto,Newsletter Promo,0.09,-55,0.75,5,57,Web,Credit Card,No,Cancelled,1790
Digital,Monthly,Yes,5.98,23,1,Yes,0.64,17.87,Europe,Culture,0.72,1,Mobile,Auto,Retention Offer,0.07,-56,0.25,3,64,Mobile App,PayPal,No,Active,48
Digital,Monthly,Yes,2.2,21,1,No,0.37,9.84,Europe,Culture,0.7,1,Mobile,Manual,Retention Offer,0.31,-87,1.32,4,50,Mobile App,PayPal,No,Active,1087
Digital+Print,Annual,Yes,2.5,18,2,Yes,0.95,15.0,Europe,Finance,0.87,1,Mobile,Auto,Retention Offer,0.64,20,0.64,4,46,Mobile App,Credit Card,No,Active,302
Digital+Print,Monthly,Yes,3.51,17,0,Yes,0.02,5.77,Asia,Finance,0.85,0,Mobile,Auto,Retention Offer,0.25,39,0.05,4,19,Mobile App,Debit Card,No,Active,968
Digital,Annual,Yes,5.33,11,0,Yes,0.3,14.3,North America,Politics,0.92,0,Mobile,Auto,Newsletter Promo,0.21,18,-0.23,5,43,Web,Credit Card,No,Active,1502
Digital,Monthly,Yes,4.28,22,2,No,0.92,14.19,North America,Environment,0.69,0,Tablet,Manual,Newsletter Promo,0.34,90,0.19,1,49,Mobile App,Credit Card,No,Active,996
Digital,Monthly,Yes,3.62,27,0,No,0.32,13.45,Europe,Technology,0.98,0,Mobile,Manual,,0.16,-24,0.42,1,20,Web,Credit Card,Yes,Active,707
Digital+Print,Monthly,No,3.69,27,3,Yes,0.25,9.94,North America,Politics,1.0,0,Mobile,Auto,,0.07,-13,0.61,2,47,Mobile App,Credit Card,No,Cancelled,816
Digital+Print,Monthly,Yes,3.07,27,0,Yes,0.53,-1.82,Asia,Environment,0.38,2,Mobile,Auto,,0.07,65,-0.14,2,36,Web,Credit Card,No,Active,1653
Digital,Monthly,No,3.84,26,0,No,0.82,7.43,Asia,Environment,0.89,3,Tablet,Auto,,0.26,16,1.1,2,27,Web,PayPal,No,Cancelled,1444
Digital,Monthly,Yes,0.0,0,0,Yes,0.1,7.5,North America,Environment,0.65,1,Desktop,Auto,Retention Offer,0.63,74,-0.02,5,42,Web,PayPal,Yes,Cancelled,1502
Digital,Annual,Yes,2.56,18,0,Yes,0.94,6.09,North America,Culture,0.57,0,Desktop,Manual,,0.28,23,0.59,3,63,Mobile App,Credit Card,No,Active,1037
Digital,Monthly,No,3.36,27,0,No,0.8,10.49,Europe,Environment,0.73,2,Mobile,Auto,Newsletter Promo,0.18,-47,0.17,1,36,Mobile App,PayPal,No,Cancelled,1694
Digital,Monthly,No,1.27,26,0,Yes,0.18,8.32,Europe,Politics,0.34,1,Desktop,Auto,Retention Offer,0.38,82,-0.18,2,60,Referral,PayPal,No,Cancelled,694
Digital,Monthly,Yes,3.58,19,1,No,0.71,6.7,North America,Culture,0.65,0,Mobile,Auto,,0.11,-53,-0.98,5,38,Web,PayPal,No,Active,48
Digital+Print,Annual,Yes,2.69,28,2,No,0.38,5.76,Asia,Culture,0.91,0,Mobile,Auto,Newsletter Promo,0.48,99,-0.62,5,23,Referral,Debit Card,Yes,Active,243
Digital,Monthly,Yes,5.63,29,0,No,0.4,7.14,Europe,Politics,0.45,3,Desktop,Manual,Newsletter Promo,0.38,0,0.59,2,68,Web,Credit Card,No,Active,819
Espresso,Monthly,No,5.36,16,1,No,0.78,14.49,North America,Politics,0.6,1,Desktop,Auto,,0.34,-86,0.38,4,31,Mobile App,PayPal,No,Cancelled,1515
Digital+Print,Monthly,Yes,2.3,4,1,Yes,0.96,7.36,North America,Environment,0.96,0,Desktop,Manual,Survey,0.41,98,0.3,4,25,Web,Credit Card,No,Active,1312
Digital,Annual,Yes,2.77,25,1,No,0.13,7.94,Asia,Politics,0.6,1,Desktop,Auto,Newsletter Promo,0.17,12,0.78,4,19,Web,PayPal,No,Active,804
Digital+Print,Monthly,Yes,2.89,2,0,Yes,0.42,8.17,North America,Culture,0.55,0,Tablet,Auto,Newsletter Promo,0.23,-85,-0.49,2,35,Mobile App,PayPal,No,Active,1129
Digital,Monthly,Yes,2.32,1,1,Yes,0.48,11.36,Asia,Politics,0.61,1,Mobile,Auto,,0.21,70,-0.24,5,39,Mobile App,Credit Card,No,Active,827
Espresso,Annual,Yes,3.29,2,5,Yes,0.38,11.82,Europe,Politics,0.66,0,Mobile,Auto,,0.53,34,-0.2,5,47,Mobile App,Debit Card,No,Active,100
Espresso,Annual,No,1.86,7,2,No,0.36,-2.18,Europe,Finance,0.74,0,Mobile,Auto,Retention Offer,0.33,-58,-0.67,1,53,Web,PayPal,No,Active,242
Digital,Monthly,Yes,1.3,15,0,Yes,0.05,14.09,Asia,Politics,0.86,0,Desktop,Auto,,0.16,-73,-0.4,4,45,Mobile App,Debit Card,No,Cancelled,1054
Digital+Print,Annual,Yes,3.93,5,3,No,0.69,15.75,Asia,Technology,0.62,0,Mobile,Manual,Survey,0.05,-35,-0.54,2,52,Web,Credit Card,No,Active,1298
Digital,Monthly,Yes,3.94,12,0,No,0.44,5.8,North America,Technology,0.87,0,Desktop,Auto,Newsletter Promo,0.23,-3,-0.78,1,19,Web,PayPal,No,Active,386
Digital+Print,Monthly,No,1.79,29,0,No,0.19,6.11,North America,Politics,0.67,1,Mobile,Auto,Survey,0.36,-41,-0.45,5,53,Mobile App,PayPal,Yes,Cancelled,1182
Digital+Print,Monthly,Yes,4.34,22,2,No,0.82,8.2,Asia,Politics,0.54,1,Mobile,Auto,Survey,0.4,27,-0.03,1,35,Mobile App,Credit Card,No,Active,118
Digital,Monthly,No,2.05,27,0,Yes,0.8,6.98,Europe,Finance,0.76,1,Mobile,Auto,Newsletter Promo,0.37,30,0.89,4,60,Referral,PayPal,No,Cancelled,547
Digital+Print,Monthly,Yes,3.38,21,1,No,0.49,10.9,North America,Politics,0.8,0,Mobile,Manual,,0.33,28,-0.51,3,26,Web,PayPal,Yes,Active,62
Digital,Annual,Yes,4.23,21,2,Yes,0.3,2.21,Others,Culture,0.69,1,Desktop,Auto,Newsletter Promo,0.3,58,0.54,4,45,Referral,PayPal,Yes,Active,640
Digital,Monthly,Yes,2.95,15,1,No,0.64,5.53,North America,Finance,0.34,0,Mobile,Manual,,0.34,-45,0.11,4,25,Mobile App,Credit Card,No,Active,752
Digital+Print,Monthly,No,3.68,27,1,No,0.29,16.16,North America,Politics,0.42,0,Mobile,Auto,,0.25,-17,0.22,2,25,Mobile App,PayPal,No,Cancelled,659
Digital,Monthly,No,2.23,15,1,Yes,0.24,6.29,North America,Finance,0.5,1,Mobile,Manual,Newsletter Promo,0.45,73,0.07,3,22,Web,PayPal,No,Active,387
Digital+Print,Annual,Yes,2.71,2,2,Yes,0.73,14.97,Europe,Politics,0.5,2,Mobile,Manual,,0.13,-69,-0.93,3,30,Mobile App,PayPal,No,Active,1496
Digital+Print,Monthly,No,2.69,27,0,No,0.04,11.42,Europe,Politics,0.77,1,Mobile,Manual,,0.12,-20,-0.53,3,24,Mobile App,Credit Card,No,Cancelled,568
Digital+Print,Monthly,No,1.88,12,0,No,0.09,2.76,North America,Politics,0.31,0,Mobile,Auto,Newsletter Promo,0.17,-83,0.29,5,38,Web,Credit Card,No,Cancelled,1780
Digital+Print,Monthly,Yes,2.73,13,0,No,0.01,12.54,North America,Culture,0.83,0,Desktop,Auto,Retention Offer,0.3,95,0.02,1,46,Mobile App,Credit Card,No,Active,1510
Digital,Monthly,Yes,0.68,7,1,No,0.15,9.53,North America,Environment,0.49,0,Mobile,Auto,Retention Offer,0.16,-66,-0.82,5,54,Web,PayPal,No,Active,335
Digital,Annual,No,2.26,11,3,Yes,0.07,8.18,Europe,Culture,0.52,0,Mobile,Auto,,0.42,3,-0.11,3,62,Mobile App,Credit Card,No,Active,1610
Espresso,Annual,Yes,2.57,22,1,Yes,1.0,10.98,North America,Finance,0.67,0,Desktop,Auto,Survey,0.06,-1,0.3,2,69,Referral,Credit Card,No,Active,1377
Digital+Print,Monthly,No,2.62,22,2,No,0.29,11.9,Others,Politics,0.45,0,Mobile,Manual,,0.47,-78,-0.63,4,65,Web,PayPal,Yes,Cancelled,1523
Digital,Annual,Yes,2.64,21,1,Yes,0.15,12.83,North America,Finance,0.92,3,Mobile,Auto,Newsletter Promo,0.35,40,-0.2,4,31,Mobile App,Credit Card,No,Active,1431
Digital+Print,Monthly,Yes,2.91,20,1,No,0.24,14.71,Others,Technology,0.36,1,Desktop,Manual,,0.54,41,0.76,5,54,Web,Debit Card,Yes,Active,1480
Digital+Print,Annual,Yes,3.72,25,1,No,0.94,11.63,North America,Environment,0.61,0,Mobile,Auto,Newsletter Promo,0.4,64,0.29,5,68,Mobile App,Credit Card,No,Active,279
Digital,Monthly,Yes,4.31,7,0,No,0.52,4.5,Asia,Politics,0.89,0,Desktop,Manual,Retention Offer,0.17,-96,0.79,2,21,Mobile App,Debit Card,No,Active,759
Espresso,Monthly,Yes,2.03,20,3,Yes,0.36,8.11,North America,Politics,0.73,2,Mobile,Auto,,0.24,49,-0.19,4,39,Web,Credit Card,No,Cancelled,1669
Digital,Monthly,Yes,1.2,24,2,No,0.87,21.77,North America,Technology,0.5,0,Desktop,Auto,,0.22,-73,0.54,5,28,Web,Credit Card,No,Cancelled,968
Digital+Print,Monthly,No,1.44,8,1,No,0.39,12.9,Asia,Culture,0.59,1,Tablet,Manual,,0.43,31,-0.52,1,51,Mobile App,Credit Card,No,Cancelled,813
Digital+Print,Monthly,Yes,2.27,0,2,No,0.34,19.48,Asia,Culture,0.79,0,Mobile,Auto,Survey,0.32,-51,0.42,5,62,Mobile App,PayPal,No,Active,1768
Digital,Monthly,Yes,2.47,5,0,No,0.21,15.58,Europe,Technology,0.98,0,Mobile,Manual,,0.04,1,-0.36,5,33,Web,Credit Card,Yes,Active,1810
Digital+Print,Monthly,Yes,1.85,22,0,Yes,0.38,10.97,Asia,Environment,0.93,1,Mobile,Auto,,0.09,-72,0.23,3,26,Web,Credit Card,No,Cancelled,1090
Digital,Annual,Yes,1.06,18,0,No,0.32,11.21,Europe,Finance,0.54,0,Mobile,Auto,Retention Offer,0.29,-64,0.25,1,33,Web,Debit Card,No,Active,680
Digital,Monthly,Yes,2.32,22,2,No,0.68,9.85,Asia,Environment,1.0,0,Desktop,Manual,Survey,0.45,62,0.34,1,56,Web,Credit Card,No,Active,1200
Digital,Monthly,No,3.27,10,0,Yes,0.29,3.05,North America,Environment,0.3,2,Desktop,Auto,,0.47,47,-0.5,2,33,Mobile App,PayPal,No,Active,52
Digital,Annual,Yes,3.89,10,2,Yes,0.58,10.07,Europe,Culture,0.32,4,Mobile,Manual,,0.34,62,0.16,3,48,Web,PayPal,No,Active,461
Digital,Monthly,Yes,2.16,22,0,Yes,0.07,14.84,Europe,Finance,0.88,1,Desktop,Auto,Newsletter Promo,0.43,29,0.01,1,48,Mobile App,Credit Card,Yes,Active,504
Digital+Print,Monthly,Yes,2.38,29,1,No,0.19,7.6,North America,Politics,0.44,2,Mobile,Manual,,0.57,15,0.63,3,30,Web,PayPal,No,Active,188
Digital+Print,Monthly,Yes,1.61,12,0,No,0.41,11.65,Asia,Finance,0.34,4,Desktop,Auto,,0.43,-43,-0.32,3,22,Web,Credit Card,No,Active,621
Digital,Annual,Yes,2.95,10,2,No,0.94,13.41,North America,Finance,0.47,3,Desktop,Auto,Retention Offer,0.44,45,-0.65,4,64,Web,Credit Card,No,Active,995
